iter	Logloss
0	0.6911083039
1	0.6890720887
2	0.6873549521
3	0.6853180886
4	0.6832905102
5	0.6813344243
6	0.6795716777
7	0.6778028922
8	0.6761489359
9	0.6745116983
10	0.6728061462
11	0.671160185
12	0.6694101027
13	0.6676789319
14	0.6662126451
15	0.6646104082
16	0.6634037928
17	0.661886612
18	0.6603711876
19	0.6591581089
20	0.6575857077
21	0.6564173423
22	0.6552484032
23	0.6540574581
24	0.6527061041
25	0.6514163172
26	0.6500233476
27	0.6488221646
28	0.6474670474
29	0.6463248447
30	0.6453224664
31	0.6442818164
32	0.6433110548
33	0.6422807676
34	0.64109182
35	0.6399218024
36	0.6388393518
37	0.637692427
38	0.6366770893
39	0.6357106089
40	0.6347103128
41	0.6337192427
42	0.6328232931
43	0.6320835301
44	0.6312327554
45	0.6302463671
46	0.6293119826
47	0.6283490338
48	0.6275381524
49	0.6267106654
50	0.6258681797
51	0.6253032995
52	0.6244784298
53	0.623676244
54	0.6229338261
55	0.6221471706
56	0.621354534
57	0.6207085667
58	0.6198899262
59	0.6190418969
60	0.6183525729
61	0.6177900563
62	0.6171175377
63	0.6163869914
64	0.6157788673
65	0.615168784
66	0.6143979705
67	0.6139981004
68	0.613541745
69	0.6130916333
70	0.6126271112
71	0.6119992708
72	0.611496924
73	0.6109810423
74	0.6104270562
75	0.6098044121
76	0.6092708232
77	0.6087362699
78	0.6082249294
79	0.6077821455
80	0.6073348411
81	0.6068556211
82	0.6063698689
83	0.6058555874
84	0.6053542773
85	0.6049145434
86	0.6045463256
87	0.6041613247
88	0.603612742
89	0.6031431246
90	0.6025322864
91	0.6020731537
92	0.6016430416
93	0.6012512271
94	0.6009456049
95	0.6005302989
96	0.600080538
97	0.5996781728
98	0.5992870153
99	0.5989298535
100	0.5985912921
101	0.5981921422
102	0.5979193479
103	0.5976657618
104	0.5973378927
105	0.5969335251
106	0.5966146256
107	0.5962192292
108	0.5958772449
109	0.5955615001
110	0.5952783688
111	0.5950044442
112	0.5946832178
113	0.5943554997
114	0.5940797056
115	0.5938579116
116	0.5935394028
117	0.5932758847
118	0.592975977
119	0.5927432625
120	0.5925395814
121	0.5923680974
122	0.5921000495
123	0.5917366953
124	0.5915484122
125	0.5912951867
126	0.5911126934
127	0.5909358582
128	0.5906127969
129	0.5904169991
130	0.5901973379
131	0.5900239838
132	0.5897316272
133	0.5895127095
134	0.5893315858
135	0.589136106
136	0.5889028881
137	0.588663472
138	0.5884763893
139	0.588291389
140	0.5881628379
141	0.5878910721
142	0.5877120757
143	0.587514142
144	0.587359266
145	0.5871871169
146	0.5870468074
147	0.5869252544
148	0.5867947126
149	0.586596156
150	0.5864812993
151	0.5863260093
152	0.5861882262
153	0.5860307788
154	0.585845748
155	0.5857123717
156	0.5855248481
157	0.5853695878
158	0.5852515551
159	0.5848527483
160	0.5847347093
161	0.5845748987
162	0.5844322876
163	0.5843455876
164	0.5841614323
165	0.5840722103
166	0.5839339913
167	0.5836877584
168	0.5835951657
