iter	Passed	Remaining
0	48	48764
1	50	25174
2	51	17098
3	53	13268
4	55	10977
5	56	9316
6	57	8099
7	58	7200
8	59	6533
9	60	5958
10	61	5508
11	62	5121
12	62	4781
13	63	4490
14	64	4228
15	65	4009
16	65	3796
17	66	3614
18	66	3451
19	67	3297
20	67	3161
21	68	3034
22	68	2919
23	69	2813
24	69	2726
25	70	2640
26	71	2567
27	71	2490
28	72	2427
29	72	2358
30	73	2296
31	73	2236
32	74	2179
33	74	2127
34	75	2080
35	76	2041
36	76	2003
37	77	1967
38	78	1929
39	78	1893
40	79	1857
41	80	1828
42	80	1794
43	81	1762
44	81	1732
45	82	1707
46	82	1682
47	83	1660
48	84	1636
49	85	1617
50	85	1593
51	86	1569
52	86	1549
53	87	1532
54	88	1512
55	88	1496
56	89	1480
57	90	1465
58	91	1451
59	91	1437
60	92	1423
61	92	1406
62	93	1394
63	94	1382
64	95	1370
65	95	1355
66	96	1342
67	96	1327
68	97	1314
69	97	1300
70	98	1286
71	99	1277
72	99	1264
73	100	1253
74	100	1245
75	101	1234
76	102	1224
77	102	1216
78	103	1209
79	104	1198
80	104	1187
81	105	1179
82	105	1170
83	106	1163
84	107	1156
85	108	1148
86	108	1139
87	109	1130
88	109	1124
89	110	1118
90	111	1112
91	112	1106
92	112	1100
93	113	1093
94	113	1084
95	114	1078
96	115	1072
97	115	1066
98	116	1061
99	117	1054
100	117	1048
101	118	1043
102	119	1037
103	119	1030
104	120	1024
105	120	1020
106	121	1015
107	122	1011
108	123	1007
109	123	1003
110	124	997
111	125	991
112	125	987
113	126	982
114	126	976
115	127	970
116	128	967
117	128	963
118	129	960
119	130	955
120	130	950
121	131	944
122	132	941
123	132	938
124	133	933
125	134	930
126	134	925
127	135	920
128	135	917
129	136	914
130	137	910
131	137	905
132	138	902
133	138	898
134	139	894
135	140	891
136	141	888
137	141	886
138	142	882
139	142	877
140	143	873
141	144	871
142	144	867
143	145	864
144	145	860
145	146	857
146	147	853
147	147	849
148	148	845
149	148	842
150	149	838
151	149	835
152	150	831
153	150	829
154	151	827
155	152	824
156	153	822
157	153	819
158	154	817
159	155	815
160	155	812
161	156	810
162	157	807
163	157	804
164	158	802
165	159	799
166	159	795
167	160	793
168	160	790
169	161	787
170	161	784
171	162	781
172	163	779
173	163	776
174	164	774
175	164	771
176	165	769
177	165	766
178	166	763
179	167	761
180	167	759
181	168	757
182	169	755
183	169	752
184	170	750
185	170	748
186	171	745
187	172	743
188	172	742
189	173	739
190	174	737
191	174	734
192	175	732
193	175	731
194	176	728
195	177	726
196	177	724
197	178	722
198	178	720
199	179	717
200	180	716
201	180	714
202	181	712
203	182	711
204	183	709
205	183	707
206	184	706
207	184	704
208	185	701
209	186	700
210	186	699
211	187	696
212	188	695
213	188	693
214	189	691
215	190	689
216	191	690
217	192	689
218	192	687
219	193	686
220	194	684
221	194	681
222	195	680
223	196	679
224	197	678
225	197	677
226	198	675
227	199	674
228	199	672
229	200	671
230	201	670
231	201	668
232	202	667
233	203	665
234	203	663
235	204	662
236	205	660
237	205	659
238	206	657
239	207	656
240	208	655
241	208	654
242	209	652
243	209	650
244	210	649
245	211	648
246	212	647
247	213	646
248	213	645
249	214	643
250	215	642
251	216	643
252	217	643
253	218	641
254	219	641
255	220	640
256	221	640
257	222	639
258	223	638
259	223	636
260	224	635
261	224	633
262	225	631
263	226	630
264	227	630
265	227	628
266	228	627
267	229	626
268	230	626
269	231	624
270	231	623
271	232	621
272	232	619
273	233	618
274	233	616
275	234	615
276	235	613
277	235	612
278	236	611
279	236	609
280	237	608
281	238	607
282	239	605
283	239	604
284	240	602
285	241	601
286	241	600
287	242	599
